Empresa,Anio,Mes,Periodo,Segmento,Factura_Promedio_COP
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,273094.53
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,200250.84
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 1,87115.06
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 1,119172.97
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 1,72510.58
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 1,94110.56
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 1,99280.94
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Estrato 1,98292.56
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 1,90671.3
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 1,104386.57
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 1,112242.5
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Estrato 1,67462.68
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 1,84858.82
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 1,94096.27
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Estrato 1,117936.2
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Estrato 1,73678.3
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 1,88741.42
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Estrato 1,121182.88
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Estrato 1,92430.98
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Estrato 1,12936.03
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 1,120678.29
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 1,95338.48
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 1,100775.94
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 1,10345.12
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 1,76232.82
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 1,3229210.67
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,2603049.22
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Estrato 2,76764.0
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 2,152935.38
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 2,193222.78
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 2,102815.17
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 2,149709.3
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 2,83073.66
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 2,99081.0
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 2,105727.01
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Estrato 2,116918.7
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 2,113087.32
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 2,108313.5
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 2,119626.34
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Estrato 2,129519.74
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 2,92245.6
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 2,109380.95
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Estrato 2,142955.07
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Estrato 2,94131.5
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 2,97204.29
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Estrato 2,148930.02
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Estrato 2,119036.46
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Estrato 2,35564.46
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 2,126302.48
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 2,106303.79
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 2,113602.47
ENEL X COLOMBIA S.A.S. ESP,2025,1,2025-01,Estrato 2,5454161.0
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 2,132285.4
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 2,205985.26
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,2025,1,2025-01,Estrato 2,326016529.0
GREENYELLOW COMERCIALIZADORA SAS ESP,2025,1,2025-01,Estrato 2,30369256.0
ISAGEN S.A. E.S.P.,2025,1,2025-01,Estrato 2,108406620.33
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 2,1097107.43
TERPEL ENERGIA S.A.S E.S.P,2025,1,2025-01,Estrato 2,10282809.0
TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,2025,1,2025-01,Estrato 2,12779218.08
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 2,134077.51
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Estrato 3,209403.96
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 3,193541.68
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 3,230974.62
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 3,104082.69
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 3,166513.51
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 3,84898.59
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 3,98218.54
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 3,106890.76
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Estrato 3,131960.71
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 3,124293.73
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 3,120443.88
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 3,120487.39
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Estrato 3,135550.58
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 3,87591.27
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 3,123409.18
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Estrato 3,183424.48
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Estrato 3,92146.82
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 3,100643.01
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Estrato 3,188777.01
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Estrato 3,150260.33
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Estrato 3,148631.94
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 3,122004.76
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 3,116574.51
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 3,102645.92
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 3,47391.49
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 3,210301.57
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,2025,1,2025-01,Estrato 3,15240181.0
QI ENERGY SAS ESP,2025,1,2025-01,Estrato 3,356575.0
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 3,463261.06
TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,2025,1,2025-01,Estrato 3,29377574.4
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 3,104706.55
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Estrato 4,626988.99
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 4,268045.66
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 4,334717.48
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 4,124110.87
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 4,228401.33
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 4,92467.31
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 4,103909.22
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 4,119081.73
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Estrato 4,222579.77
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 4,192749.32
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 4,151510.86
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 4,141110.97
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Estrato 4,240099.56
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 4,80226.38
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 4,160116.34
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 4,101471.63
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Estrato 4,168558.73
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Estrato 4,97679.88
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 4,119843.5
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 4,134854.02
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 4,108335.61
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 4,73744.71
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 4,113785.1
QI ENERGY SAS ESP,2025,1,2025-01,Estrato 4,537451.43
RUITOQUE S.A. E.S.P.,2025,1,2025-01,Estrato 4,174742.24
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 4,570723.75
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 4,124842.44
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 5,322076.02
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 5,410671.05
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 5,186131.68
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 5,323928.35
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 5,99346.72
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 5,96422.06
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 5,137568.71
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 5,276332.87
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 5,180082.24
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 5,166291.67
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 5,89396.7
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 5,326458.58
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 5,108951.19
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 5,157150.88
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 5,159826.87
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 5,138984.98
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 5,193739.57
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 5,138959.25
RUITOQUE S.A. E.S.P.,2025,1,2025-01,Estrato 5,153497.32
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 5,229880.45
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 5,127659.06
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 6,486683.04
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 6,632129.03
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 6,276827.67
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 6,378426.1
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 6,235938.86
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 6,115107.8
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 6,341244.86
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 6,252538.44
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 6,249523.89
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 6,201552.57
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 6,209744.81
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 6,160777.7
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 6,274270.23
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 6,236754.6
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 6,192827.65
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 6,376817.35
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 6,280327.78
QI ENERGY SAS ESP,2025,1,2025-01,Estrato 6,212783.33
RUITOQUE S.A. E.S.P.,2025,1,2025-01,Estrato 6,232743.88
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 6,767151.95
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 6,151919.48
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Total Residencial,309025.75
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Total Residencial,231308.62
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Total Residencial,212377.12
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Total Residencial,102599.7
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Total Residencial,147081.18
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Total Residencial,79172.92
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Total Residencial,99038.32
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Total Residencial,109483.18
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Total Residencial,106720.28
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Total Residencial,111703.35
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Total Residencial,114026.55
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Total Residencial,123948.65
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Total Residencial,92947.13
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Total Residencial,89282.28
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Total Residencial,108316.52
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Total Residencial,127539.22
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Total Residencial,78787.31
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Total Residencial,98166.56
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Total Residencial,137789.43
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Total Residencial,95836.9
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Total Residencial,52150.89
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Total Residencial,130575.79
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Total Residencial,115452.8
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Total Residencial,110964.51
ENEL X COLOMBIA S.A.S. ESP,2025,1,2025-01,Total Residencial,5454161.0
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Total Residencial,119815.24
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Total Residencial,153155.96
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,2025,1,2025-01,Total Residencial,15240181.0
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,2025,1,2025-01,Total Residencial,326016529.0
GREENYELLOW COMERCIALIZADORA SAS ESP,2025,1,2025-01,Total Residencial,30369256.0
ISAGEN S.A. E.S.P.,2025,1,2025-01,Total Residencial,108406620.33
QI ENERGY SAS ESP,2025,1,2025-01,Total Residencial,465426.96
RUITOQUE S.A. E.S.P.,2025,1,2025-01,Total Residencial,170601.96
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Total Residencial,762520.26
TERPEL ENERGIA S.A.S E.S.P,2025,1,2025-01,Total Residencial,10282809.0
TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,2025,1,2025-01,Total Residencial,17661087.59
VATIA S.A.S. E.S.P.,2025,1,2025-01,Total Residencial,128761.46
AES COLOMBIA & CIA S C A E S P,2025,1,2025-01,Industrial,346021602.89
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Industrial,11143177.89
BIA ENERGY S.A.S. E.S.P.,2025,1,2025-01,Industrial,45756.98
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Industrial,15403009.78
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Industrial,6348454.11
CEMEX ENERGY SAS ESP,2025,1,2025-01,Industrial,435973856.5
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Industrial,2345247.16
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Industrial,840377.43
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Industrial,2428920.26
COLOMBINA ENERGIA SAS ESP,2025,1,2025-01,Industrial,187255086.8
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Industrial,3575122.81
DICELER S.A E.S.P.,2025,1,2025-01,Industrial,949196.0
DRUMMOND POWER S.A.S .ES.P.,2025,1,2025-01,Industrial,58169915.0
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Industrial,4383707.55
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Industrial,2797448.78
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Industrial,7382403.15
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Industrial,1035316.84
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Industrial,3574601.08
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Industrial,2479522.77
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Industrial,4686404.17
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Industrial,1222515.43
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Industrial,127685.21
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Industrial,1336441.68
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Industrial,2806548.07
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Industrial,348797.64
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Industrial,9513817.92
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Industrial,6370413.15
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Industrial,7031549.4
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Industrial,2344379.92
ENEL X COLOMBIA S.A.S. ESP,2025,1,2025-01,Industrial,30713119.94
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Industrial,3643959.38
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Industrial,6397943.08
FRANCA ENERGIA SA ESP,2025,1,2025-01,Industrial,1045820140.0
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,2025,1,2025-01,Industrial,40995438.57
GAP ENERGY GROUP S.A.S ESP,2025,1,2025-01,Industrial,231160089.9
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,2025,1,2025-01,Industrial,740569068.2
GREENYELLOW COMERCIALIZADORA SAS ESP,2025,1,2025-01,Industrial,35122481.0
ISAGEN S.A. E.S.P.,2025,1,2025-01,Industrial,305773005.56
ITALCOL ENERGIA S.A. ESP.,2025,1,2025-01,Industrial,227324497.0
MESSER ENERGY SERVICES SAS ESP,2025,1,2025-01,Industrial,1719545512.0
QI ENERGY SAS ESP,2025,1,2025-01,Industrial,8420816.78
RUITOQUE S.A. E.S.P.,2025,1,2025-01,Industrial,36090659.68
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Industrial,2739231.21
TERPEL ENERGIA S.A.S E.S.P,2025,1,2025-01,Industrial,306252397.8
TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,2025,1,2025-01,Industrial,23134739.5
VATIA S.A.S. E.S.P.,2025,1,2025-01,Industrial,2824778.53
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Comercial,486704.5
AES COLOMBIA & CIA S C A E S P,2025,1,2025-01,Comercial,19634910.0
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Comercial,1167637.99
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Comercial,1124468.66
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Comercial,585102.08
CEMEX ENERGY SAS ESP,2025,1,2025-01,Comercial,355788477.67
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Comercial,506832.35
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Comercial,275587.51
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Comercial,378646.62
COLOMBINA ENERGIA SAS ESP,2025,1,2025-01,Comercial,24835989.75
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Comercial,523545.33
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Comercial,571556.43
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Comercial,495592.74
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Comercial,362560.26
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Comercial,457625.02
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Comercial,275040.66
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Comercial,306142.07
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Comercial,456868.29
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Comercial,370784.77
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Comercial,266464.35
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Comercial,408834.6
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Comercial,439420.71
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Comercial,525180.87
